scaf_1	1920000
scaf_2	1840000
scaf_3	1770000
scaf_4	1690000
scaf_5	1620000
scaf_6	1550000
scaf_7	1490000
scaf_8	1420000
scaf_9	1360000
scaf_10	1300000
scaf_11	1250000
scaf_12	1180000
scaf_13	1120000
scaf_14	1070000
scaf_15	1010000
scaf_16	960000
scaf_17	910000
scaf_18	860000
scaf_19	820000
scaf_20	770000
scaf_21	730000
scaf_22	680000
scaf_23	640000
scaf_24	600000
scaf_25	570000
scaf_26	530000
scaf_27	500000
scaf_28	460000
scaf_29	430000
scaf_30	400000
scaf_31	380000
scaf_32	350000
scaf_33	320000
scaf_34	300000
scaf_35	280000
scaf_36	260000
scaf_37	240000
scaf_38	220000
scaf_39	200000
scaf_40	190000
scaf_41	170000
scaf_42	160000
scaf_43	150000
scaf_44	140000
scaf_45	130000
scaf_46	120000
scaf_47	120000
scaf_48	110000
scaf_49	110000
scaf_50	100000
